Ticket ID;Fix Date
VCL-first;11/2008
VCL-last;12/2019
VCL-1120;7/2019
VCL-1119;4/2019
VCL-1117;3/2019
VCL-1116;7/2019
VCL-1113;3/2019
VCL-1111;1/2019
VCL-1105;12/2018
VCL-1103;12/2018
VCL-1100;6/2018
VCL-1093;2/2019
VCL-1083;8/2019
VCL-1082;12/2018
VCL-1081;2/2019
VCL-1080;5/2018
VCL-1079;6/2018
VCL-1077;8/2017
VCL-1076;8/2017
VCL-1075;8/2017
VCL-1073;8/2017
VCL-1068;8/2017
VCL-1066;8/2017
VCL-1063;7/2017
VCL-1059;7/2017
VCL-1058;7/2017
VCL-1057;7/2017
VCL-1055;7/2017
VCL-1054;6/2017
VCL-1051;5/2017
VCL-1050;5/2017
VCL-1048;5/2017
VCL-1044;5/2017
VCL-1043;7/2017
VCL-1038;5/2017
VCL-1035;5/2017
VCL-1034;5/2017
VCL-1023;3/2017
VCL-1022;3/2017
VCL-1004;3/2017
VCL-1001;11/2016
VCL-996;10/2016
VCL-995;10/2016
VCL-993;7/2017
VCL-989;9/2016
VCL-988;1/2017
VCL-985;8/2016
VCL-983;8/2016
VCL-975;7/2016
VCL-974;4/2017
VCL-970;7/2016
VCL-953;6/2016
VCL-951;6/2016
VCL-944;6/2016
VCL-943;6/2016
VCL-941;4/2016
VCL-940;6/2016
VCL-939;4/2016
VCL-936;6/2016
VCL-932;6/2016
VCL-929;7/2016
VCL-928;6/2016
VCL-924;2/2017
VCL-922;12/2015
VCL-921;12/2015
VCL-918;12/2015
VCL-916;11/2015
VCL-914;10/2015
VCL-913;5/2017
VCL-908;12/2015
VCL-904;8/2015
VCL-901;8/2015
VCL-900;8/2015
VCL-892;7/2015
VCL-888;8/2015
VCL-886;7/2015
VCL-885;7/2015
VCL-884;7/2015
VCL-883;7/2015
VCL-881;7/2015
VCL-880;6/2015
VCL-878;7/2015
VCL-877;6/2015
VCL-875;7/2015
VCL-873;8/2015
VCL-872;6/2016
VCL-871;8/2015
VCL-870;8/2015
VCL-868;4/2015
VCL-866;5/2017
VCL-864;8/2015
VCL-861;8/2015
VCL-858;4/2015
VCL-857;4/2015
VCL-856;4/2015
VCL-855;4/2015
VCL-849;4/2015
VCL-847;3/2015
VCL-846;8/2016
VCL-841;3/2015
VCL-839;3/2015
VCL-834;3/2015
VCL-815;3/2015
VCL-812;2/2015
VCL-811;1/2015
VCL-809;8/2015
VCL-800;11/2014
VCL-795;10/2014
VCL-794;10/2014
VCL-793;10/2014
VCL-777;9/2014
VCL-775;8/2014
VCL-768;6/2014
VCL-765;6/2014
VCL-761;5/2014
VCL-756;3/2014
VCL-755;12/2014
VCL-754;6/2014
VCL-747;10/2014
VCL-746;2/2014
VCL-745;2/2014
VCL-742;9/2014
VCL-741;9/2014
VCL-740;10/2014
VCL-739;12/2013
VCL-737;1/2015
VCL-736;8/2014
VCL-735;11/2013
VCL-733;9/2014
VCL-730;9/2014
VCL-729;1/2014
VCL-725;9/2013
VCL-712;7/2013
VCL-707;6/2013
VCL-704;6/2013
