INFO  - 2020-04-03 12:45:26.085; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 12:45:26.664; it.uniroma2.isw2.milestone1.Milestone1; Found 2817 commits in Git!
INFO  - 2020-04-03 12:45:39.363; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 13:00:37.116; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 13:00:37.684; it.uniroma2.isw2.milestone1.Milestone1; Found 2817 commits in Git!
INFO  - 2020-04-03 13:00:50.315; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 13:09:53.167; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 13:09:53.761; it.uniroma2.isw2.milestone1.Milestone1; Found 2817 commits in Git!
INFO  - 2020-04-03 13:10:06.845; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 13:11:44.143; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 13:11:44.690; it.uniroma2.isw2.milestone1.Milestone1; Found 2817 commits in Git!
INFO  - 2020-04-03 13:11:57.386; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 13:19:20.677; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 13:19:21.265; it.uniroma2.isw2.milestone1.Milestone1; Found 2817 commits in Git!
INFO  - 2020-04-03 13:19:33.778; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 13:20:23.782; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 13:20:24.945; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 13:20:25.480; it.uniroma2.isw2.milestone1.Milestone1; Found 2817 commits in Git!
INFO  - 2020-04-03 13:20:38.105; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 13:30:08.078; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 13:30:09.138; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 13:30:28.001; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 13:30:29.118; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 13:30:46.154; it.uniroma2.isw2.milestone1.Milestone1; Found 2817 commits in Git!
INFO  - 2020-04-03 13:31:00.337; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 13:42:32.799; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 13:42:33.964; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 13:42:33.964; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository and search for commits in Git...
INFO  - 2020-04-03 13:42:44.467; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 13:42:45.545; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 13:42:45.546; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository and search for commits in Git...
INFO  - 2020-04-03 13:42:59.621; it.uniroma2.isw2.milestone1.Milestone1; Found 2817 commits in Git!
INFO  - 2020-04-03 13:43:12.423; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 13:43:23.452; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 13:43:24.516; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 13:43:24.517; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 13:43:38.310; it.uniroma2.isw2.milestone1.Milestone1; Done! Found 2817 commits in Git!
INFO  - 2020-04-03 13:43:51.153; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 14:48:08.875; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 14:48:09.977; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 14:48:09.978; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 14:48:55.984; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 14:48:57.043; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 14:48:57.043; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 14:49:12.549; it.uniroma2.isw2.milestone1.Milestone1; Done! Found 2817 commits in Git!
INFO  - 2020-04-03 14:49:42.634; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 14:49:43.680; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 14:49:43.680; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 14:50:08.714; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 14:50:09.749; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 14:50:09.749; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 14:50:24.540; it.uniroma2.isw2.milestone1.Milestone1; Done! Found 2817 commits in Git!
INFO  - 2020-04-03 14:50:37.665; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 15:13:38.072; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 15:13:39.254; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 15:13:39.254; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 15:13:49.512; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 15:13:50.725; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 15:13:50.726; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 15:14:06.127; it.uniroma2.isw2.milestone1.Milestone1; Done! Found 2817 commits in Git!
INFO  - 2020-04-03 15:14:18.675; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 15:16:10.338; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 15:16:11.466; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
